reviewId,content,label
gp:AOqpTOEA0ubPA5n0s_6lg0BHqfQqj0gi-KIdZF_I1yZSAWSG99_sh26f4jfDlXPVJ_KIrJGtRX93nRwYcehR4Q,"Constant crashing. After reading all the negative reviews, I Uninstalled it from all my devices. **Canceled subscription. App was great, until it crashed. After spending more than a hour setting it up on my Samsung tablet, it will not run. Cannot even get it to start. Too bad. In the past, my experiences have been good with this app. Guess I will see how long it takes to crash on my cell phone. So much for multi-device sync. Such a disappointment. **see above, for new comment added.",negative
gp:AOqpTOHrRuSVa3NrUSSPteLrj5Al27ooHi8ljxmMMRjkAyl63aPWKZHWQ0eiOIKNyNkTFf1SBAhCEi-u4cylcQ,"Widgets are useless because they always show all tasks I have, regardless of category. There's no option to show only a specific category like groceries so they're all mixed up with to-do list tasks. Do developers even care about usability? Isn't it a software design 101?",negative
gp:AOqpTOGCsBs3-GSKz119JEyIQtyzUswQeotrpjqvGVEN-vY8vnnJ22kjT_5O5mrdt8zU0wRxmD-GsrIsoQv_iA,Horrible app. It doesn't do as described. Absolutely no support!,negative
gp:AOqpTOFI1-khEBbLnJU1yPTAg_rTBWEX3ZK5yOthFwyYmAUzSwTRwDJ17iZCBt7LT65M_cIbYU8A6Gu4acFSgw,"Update October 2020: new update deleted all of my tasks, forced me to create an account, and now only bare minimum is free. Finding a new app. Been using this for years and loved it. With each update you get less and less free. It just auto updated and now I can't have reoccurring reminders without paying. Unless you count defaulting to every Monday. It wouldn't even allow me to update a long time weekly reminder",negative
gp:AOqpTOFTcK3OSNQM_GedidaPkGSIsB-wuBzWWS_i8KEnPSflZ06hELS5xhdhmEFk0MxDdll5ELbblUhT_nKZ4Q,Did not realize there was a charge for this app do not want this app.,negative
gp:AOqpTOHnLeO0PPj1jtiWlfKaIADWg-J039PvPQjHwmufBGmWWXDlcvhYaqvmZXsCD8Qd3SYABcpWsfCdq6FK7w,"Spams notifications of how many tasks other users have completed this week. Who on earth would care? Uninstalled. **Update: Developer responded that this was a once off experiment. I think this was actually the third time I received this notification. Also, experimental spam is still spam",negative
gp:AOqpTOE4ZgmyiDZk9YZsFBQqqEnATvc1sETIZYq9isNUDHfCKyMqJIwPLMBsPZYhiMG9d8y-nDEYIHNraLPNKA,Downloaded first thing it trys to do is do a con. Not impressed.,negative
gp:AOqpTOG9cqNtW6wDlVZOu-v0fFtyKxS5EfFWoePAqJkWjh7ef1luOP8EdOZRhlHq-kWLvFJX-hLnRlrFAEE8xA,No longer works with Alexa. What happened??,negative
gp:AOqpTOG7O0QHPF-ALRwVW6FMGeKf5J5Gq2SYMAy8DLfeSIiadF8CZBe4R-BbVcfsKLa825kdhHWNrizbjiPmQg,it doesn't show any list,negative
gp:AOqpTOEi68n5Nhll2XbpRcoV6IIkrAexkpOTv0A8ueWW1uDNcbAAqJvadrlQGGKB2LudWTg2ReBunnZFdfv01w,Do not download,negative
gp:AOqpTOGbiMG5WNCrGuTd0nmHg0Tok75AfW752g2syKzwbnQ1QlMHSgbXisZdq7Ok08PgzG5qWBE7JtIC6ml5gQ,This app is not what I wanted at all.,negative
gp:AOqpTOELOICKPjyvmSySLflfOlkd0ccYqZwG9dZzI6iVMlXBpuX6QI993AqrsuKchQ2jlrHh8fhSO71DZSKWpQ,Unnecessary pop up. Really annoying and counterproductive,negative
gp:AOqpTOF9yXFNFzssxE_a4QF9W4ECF7tZljcuLJhSMYOBs7stbYNJaUQrbgRELUAE63XEVL_Wvp49EyP2EgBmTQ,They recently started sending spammy notifications every week or so. Please stop.,negative
gp:AOqpTOHlSaprmrINSj7IOMfYRbGyHMW1E5MFY9j7r2MGKvyc41oGwoNHPm09J8VUU0b90JVE165Vf0QXbfgYfg,"Shows tasks assigned to others in widget. A major missing feature for any serious projects, is some way to know if a task you're currently adding to a long list, already exists. Some kind of an automatic search through the existing tasks - at least the tasks in the current list - while typing in a new task. Other than that, this is great. Good job! _Task search in the web app is an extra step and not intuitive._ Using a separate search feature to check every new task you're adding, is absurd.",negative
gp:AOqpTOEP-X3mbO7FINTNm2xh0kUoMS4F3px0RdW34jMnwMeDBLAVYlUeKYwmCORF0xJ4X3OuG5UI4391yLdBDg,7 days for free and then you pay. Plus too complicated for some simple tasks,negative
gp:AOqpTOGtuvsGStDAiI12XIgtKJtbDFV9NGWiovHCzl4OnVJopCty8jYl9-MLvTDqP7kU0y33ptYNU595NU0LCw,Update: thanks for your response. I would ask the developers to check their own app. There is NO monthly subscription option in the app. Old review: No monthly subscriptions? Why should I be forced to subscribe for a year? I am definitely not subscribing for a year in one go. This is ridiculously desperate.,negative
gp:AOqpTOEJdPLr9jdEDnvr56uDHDhIZDp0hvNpRrm3i38up5ZpW8DXjFpcfxJfXZQrOnxtZSu9QfeoLVfiV2AYpw,Expensive paywall preventing access to features in wanting to try out,negative
gp:AOqpTOEpG12eF_NO-BMG1dh61zouI45dyOLiH5FfcnyiTsSjrRcfVRvm_9SxsOqq4afhDbwTALmcK6z8LaY1pg,"I was about to pay for this app when I noticed a bug. It does not effectively sync tasks and events from the Google Calendar. Numerous issues, and you can't even mark those events as over. Sorry, not going to subscribe to this. I have no idea why this app is so famous. It's quite bad, in my opinion.",negative
gp:AOqpTOEwq2oQY4Y5tHrXF5B925uQ_76w9R-EEASoBZ-W9XyDBTyHgBSKHS6JAfzav0Dvucp3ua-C15O1UaeayQ,Worst application no task information on screen,negative
gp:AOqpTOG_cecjUQF96eGoXeOUD6iugL93jvTU3E4aW6u3VgJnfpsw4TfwPbPOV33Nwvv_XzdzH6lP5ph7tiKcIQ,"I downloaded this app to try for my task list but i see there're not many functions, choices of sounds, color labels... to make the task fun, dissapointed with the score i saw on Google Play. The worst point is this app forced me to pay for it without any awareness. I checked my Google play account before the trial end, i didn't see any Subscription plan from Any.do, but after the trial, it charged me yearly plan for this App. Bad way to trick people to pay for this app.",negative
gp:AOqpTOGN8rObZPmhEolYdjwgv4ecjVCAME9NV3j151BB_TlyosOOfwLNPTPhc3i0kH8eP5ciPrDnCcudg8w8Bg,"Shameless App Ever, Waste Money !!! I have subscribed and have been charged for the whole year. Though no features of premium appeared. Can someone clarify the reason????",negative
gp:AOqpTOFAvpx5Fi-isGpzhYm8HuT4NaJzVOcMfjE_sDkDkpXFimnDWdmV5f6Ps4UXETRAFB3UEhsLbV8KXTVWKA,I am not providing email addresses or google or Facebook accounts for a todo list,negative
gp:AOqpTOEgERvpUvz7K9EnevhXBa2V5Rhf10Vj9frLJJSAzaSBueZhmdNQXA1CLLZC0vHocZ_-skLmQ8JIv2pMEA,Uninstalled it as soon as it started sending me Ad notifications. Why does any developer think this is acceptable? Disgusting.,negative
gp:AOqpTOGiw71s_vPVDioXw7Rqv2oHzM2fcUQjDBuZ9KlZ9IEpNFeNA5gvkruZ7UJgp7g40tn47sij4ljEGH455A,I have subscribed and have been charged for the whole year. Though no features of premium appeared. Can someone clarify the reason????,negative
gp:AOqpTOGhMZmy-lHPKbzz-BF-JiC_1rTtAU8xmtZtwz2kzI4qKZVR8RxguMXyy-wMzeus6Vno_YGbCeq4-Zt1GQ,Have to pay premium if you want to put multiple reminders a day,negative
gp:AOqpTOH_AYbhV_qi0jGeuJ7Tb92hneyhzhy1Pj-rELnHu6yw2hKmORTmQ0jEn9EP2CgA2gAJp43wLf_0SSxKyw,"I have tried I installing this on two separate Android devices with no luck. I can not add my calendars. I put the widget on the home screen. It says I need to add my calendars and has a button to add them, but nothing happens when I tap the button.",negative
gp:AOqpTOGRuL9-j358Bnp8i9aV_QKbvZ8DmyOaXKJv2_xTtDS3CQW6Etn3NxFg7rbPEnAeb5nmeBNFkK60oXdZag,Prayer Ubde,negative
gp:AOqpTOHNusAljGcpakkhtaqnBcPbanOnh-su80zKE-SQg01VqxEHUi7iEB6c-WN2ceXnqDyWKbXnne5654bytg,such a useless and greedy app only wants money as is chargeable after 7 days do you have shame i want to give you 0 star,negative
gp:AOqpTOGeRg_WF8424EZFALPqFgTsiPq2IoG0ujnvWKWQEm11eFrTG3tzSTtM8N2YiLBvH-yxr-496WNw5rWOpA,Yes i what,negative
gp:AOqpTOEnjPfKOVEqfEIiIkjR84JAy8fLppi2ymm9Ef_oRNr6HdCCBbjAnBRADhoRuayQ1wXnR_BmPimZrXtxVQ,Waste,negative
gp:AOqpTOGn0MEvKawi61Jm2oaqB4M2Wnlc7iJ9l4ivB7cEtloR6MeUslxNGI2NGFq-bfgG4-HSV2oAbCJsCepu-g,"Really cumbersome, is not easy to use",negative
gp:AOqpTOFPubbwFNvEzPdsOdcP0iqJQnQIXWhrOkHZogjDHJDPZinWJHOzktKGnvPeRpdDRXM-nP8nlGovYLZWCA,Was charged for the year instead of monthly,negative
gp:AOqpTOE_bX0sDD1eKPnFuOc7wNaL-FHF5OOvSn2qUJDrS-W_-AHp6ySh-0yTBDEjDZbwmanc1d68OqhbBZadhA,"Not free, cannot delete account",negative
gp:AOqpTOE9ru-RbquL4E0mbskJ_YUKAbQ7woMWT8B7dj_giuuJQL-9CzScZ1_1LEfQ7jcDQjTewVYhsWJxn4zZEA,Will not enable me to unsubscribe!,negative
gp:AOqpTOFP85mePEfX4Kx10XxhLtjsiSUfM0HCvHe-88fHMOAakjfhJ5Jw3sZTii07_s9A5LNZoWf17RspU5D3ug,Dindigul,negative
gp:AOqpTOEBTFvIHE1WHlXoek-nYi1mfnweWC-gM0nJE-nZvjE-NOtoAe82YGSpogqa6otPsz7HZN7dapIflAoFTw,Latest update deleted all my tasks and lists! Have to start all over and try to remember what my list items were. I'll be looking for a new app.,negative
gp:AOqpTOFoIsCA0OHQapg_cPjxZ1c-llzTF8d3Ech31GRCdOlA-AQa2FkTZ-jb1j5Hfyjve-j0oDcW-APC4BmatA,Features for the free version are just disappointing.,negative
gp:AOqpTOEo9Bz_U4tuiFP3J2RBxcSHhUANIV7bNsb2EDNiGuOG6hG4iwIAWNlEKJfGhbx3Uc8FA49sRnIhymKxsg,Locking basic features behind a paywall is kinda weird,negative
gp:AOqpTOENw2ZRvJuSBJHA-qRQYBi1gYShQy-1aq6bIRy21pINwxL0KfCHhhqRCrDpAbiAbw0M5ZWfcDrMOMRt8Q,Soo awkward i can't able to sign *up* ðŸ˜­ Sick app,negative
gp:AOqpTOHa_AUcoRKu1nUf7wDYKUM6ddyqObyPHCQPWsTSTNa6z3VIw-TXHHDc9nH-dYshmcd1nVXEiwif-NZQmw,Hangs when setting up Google Assistant,negative
gp:AOqpTOFNy6DrR9OIdkst-3sBZAjlW2Pu2j_ut8_c34tnb06XxSljBQ93LT-HPlRfwT4TeYkIjSDilmLefFqjzA,Subscription?? How does this application figure that it can be a subscription application? Ridiculous Update after developer response: This is not a subscription application. You are not Netflix or Adobe. This should be a standalone app quit trying to milk people's money. You can say anything you want. THIS WILL NEVER BE A SUBSCRIPTION APPLICATION. STOP BEING RIDICULOUS.,negative
gp:AOqpTOHN_kznmqc7d-4gbaesOsGVZP6EtEcCQCqbEKW2HFYsI_BLWEAJiSCUTlMXf3SLeCMGG2sgykEvwhyqBw,good,negative
gp:AOqpTOH9y0mrXUuqulfB_d48QIXYJet79OMMr8jzm851LJcPPk9wpcsJNAhuks49vXw2BmPFOenEZh8WzB4VxA,"Hopeless customer service. I paid for the premium version, had a problem with its sharing function, emailed customer support for a solution, was told it would take 2 business days for a response (which was hopeless enough), now over 5 business days later I've not received a response.",negative
gp:AOqpTOGS4g1rjZ7Fyx9WytLZor4cEU0xsCuJE3fKUM8CMIOvEwyAkMgXQM_bq-LAqw57IpZIJbsjTKBjOnqEzg,Duplicates files attached and you have to constantly delete. FIX THE BUGS.,negative
gp:AOqpTOEXLp6ZP26B2q3bBLR0_apFoBPm9f_Nd3NHXjkkFkkDlRXqHL70a-MFltqtNe4Q5lQtRmecZgTFQXwikw,Used to work so well earlier. Now it doesn't work at all!! Junk!!,negative
gp:AOqpTOGieAXzc2c0vmOAoY8ppVMn2-zbfiNJAwPpmJ2ZFDcErk2ZVBZGoEOmNmvbWEZaz5dvKkyaeNYdCfCYBw,Frustrating. Apparently its meant to sync grocery lists with Google home but doesn't. Absolutely no info on how to set it up,negative
gp:AOqpTOEjunaXa2uTe4rl5CrTA2FoH70gLDEn44zU-uJ6780m9Fy93xI9hbjHmMZzeoYwOTzqC1OjSx1hi6M-fA,Too complicated to use,negative
gp:AOqpTOHzEZYzlZa_WLuLJfZzmgRf_XwxLlYnlR1nYjhZ7ddeP5LhieeFHRHyq3BUzTQOYuKlh0hdmsllUZhvrg,Forced sign in,negative
gp:AOqpTOGk61WNG6_V4HoSkn0lSLLx-8lKu1wSzEkMZF6X8f0wPdrSkpTpWC5ZnZJYuVLyKYxdqQLBTLoruxXe7g,Work on it,negative
gp:AOqpTOHZUACE1GtwHe80WUK8RxUA7WAWyYya6guIZ5IdyFGQTQlpTEE4Tvpg_u-ICITXtnYajeZvfWbdPhYzjg,"I should have looked through ""most recent"" instead of ""most relevant"" reviews. It's far too limited for me in it's free state and I'm not interested in paying for a subscription just to unlock what should be basic functionality in a to do list app.",negative
gp:AOqpTOFq16sJIegE4V8rH9AtJ5H3zJmQhChQ_-plqLb0FXXRTtIdc4Ex9RC1WVa8iCJj9g260483J2BZoPgDHw,do not for showing or refund&refuse about my persional privacy.,negative
gp:AOqpTOGCGOEcZNh7qvxq32YqKUPPFuZm-jMfFQn8HDeiJMJRuss0au3sgkbFn-aviop8qUOQ4q8UE-SgkWtlkQ,"It doesn't have sub lists, e.g. ""child/school"", ""child/health"" so you see too many lists or too many tasks at once (which is overwelming).",negative
gp:AOqpTOHtJ4A1jU-Gwc5qcxDTyNeA0SuKtWtJO848MQYlsbDeIn-pECwv4i_kMKoVPM6P48Q9H7QpQMxG1tWdtg,Not usefull and even they charge some money :),negative
gp:AOqpTOGc4GQOl57iSOFz0PyScPzcr_vv6dVclB5zmQeMgroovitLViDcqt74g9k2j75lzg6uOgVGCslYpJ6ddA,This app is absolutely useless. Because of this i missed an important event because the reminder alarm supposedly forgot to rang. Its pathetic and useless.,negative
gp:AOqpTOFHia71NvH0YII4GrqF5M0nz9C_vfv0AXOhTkTxoNw17DK0sRGDVJPm_zCGui8Gd5llfJebnw9CpTUcWA,Is the app or web platform down today? Can't seem to login either.,negative
gp:AOqpTOEy2RnsrvYoIVcEwLGgwFta7lagU4_XYI8WBnc004mfcm6jjW4hHt5sDZa13I4fo3E2PNMcQ89JKyIhqQ,Have to pay for daily reminders... My phone does that free,negative
gp:AOqpTOFHT5c7cUh51feZCiYcK4mP2DqWQLLxhiaJq84TDdGnewHf3EkqznxYskrrFqO_ru6xjFwvCdAk1hiBOQ,The app is amazing - but the vibrations! So annoying!! Pls let me turn them off.,negative
gp:AOqpTOFRVaUBzyyKnYVUypJnYPmrcqjI0UqLoBgfHp_90GipbqZ7tb9AbAALpp6gaIR6t7Gm5MRLCw95szxlhA,Dipak day Cox,negative
gp:AOqpTOGv6itTfYBMO35UKa27tiAbwkyBQUNEei2HvTniNlVc_bJgll0yIKQmuAn0UnrfojNwANF9W_fQens1NQ,Very bad,negative
gp:AOqpTOHF4aEI_7OK1Z0Gi14QO50R3HdMo67QGvkn1x8K_vRsU3Kl5iJDc9LwssUKz1SK1mAQBsK3ZMuiMIamRg,Location reminders don't work in medium power saving mode.. And all I got in reply was a copy paste solution and a trouble shoot link.,negative
gp:AOqpTOF8fD47bedjxNHs09-NuZDA_Gj-eFH9bEQrVfJcR5Oj6aj9npO79R1Eb-yEbhpQsr_u3gWxokgAeTWXAg,Fed up with interruption in each matter I note. Not worth the while HAVING there are far too many condescending workers out inte cyber world who refuse to take no for an answer.,negative
gp:AOqpTOEfg0XuDD7_o4qYaKmlCKOIsFRBdvZOyTO8bAOGCgsud_-_p27PIqbph03IG5FojJE68wJtGaCzFK4Lvw,"Really dissappointed in this app. Was using it to schedule my customers appointments. As soon as the new version came out, I lost everything. Going back to paper as at least my paper won't delete everything. A terrible app for business owners and scheduling appointments. Absolutely horrible and I'm very angry.",negative
gp:AOqpTOH-8UnLGNlo9EK7HKX7ZyQA8pOA2XQAtmOHG-T21AJ1LUpB68wCY8CD3j8KBvK1kIDfoW-IFlX2sAYhTw,Thanks to your stupid update I lost ALL of my appointment dates... Terrible garbage.,negative
gp:AOqpTOGHYuizzBG_Fbsei5jiZwqOAq1tZYuA6HWrSVUDb0Yb9xMKVcr0szGh6OpJkif2LqMkbAFblAS9nv3NyQ,"I miss Cal. The updates destroyed it, turned this into a cookie-cutter to-do app. It's a shame.",negative
gp:AOqpTOFtaevt1hmnXk0aPdFseRhFSF0yPxcJkby9BuYK4t5vvoBnqPz0xxeJRX1HoeMuaNUpeHGt149a1eb8YA,Was great but can't connect with other people since last update. Invite will go out and will even receive the invitation but doesn't link and have had no luck with customer support,negative
gp:AOqpTOG0qj92C93X7M5iNhYPDkyUcUlir0mU3PTgZk7ywhsEQnWrj54EqtxpU3AfxgzApEB3fHO0x8Nmfe7C5g,I WAS TRYING FOR DAYS TO UN SUBSCRIBE. BUT OF COURSE THAT I was charged. Absolutely no support. Horrible and disgusting tactics,negative
gp:AOqpTOHB6-9UnF_GWUDr3szAVvXyvUp1OxNxBenTjogfnX3fTUPIHI3Wkt93WK8JmBrlHONziiOpMedOlhEcGQ,"Update ruined app Last update re-formatted the ""Plan My Day"" function so the ability to schedule tasks for that day or postpone into the future is unusable, so I have 50+ tasks and to way to arrange them into a comprehensive order. Contacted the developer who emailed me back after 4 days asking for a screenshot of the problem, so I sent it right back. 3 days later - no response from the developer, no fix, nothing. Update9/8: no fix, moved to aCalTasks +",negative
gp:AOqpTOEYxpcns6LXdxAOWc9zOEKvmYRk6qiwr6MOLUz1usx2AEDAxaxLx9YIOxjE3WJ60ALk3DOYDvNZ-A9uyg,ðŸ‘Ž,negative
gp:AOqpTOFUz9gdtUGHQgnEqKlp-jzSu67UKSApozcaV1rHrqjetWGWWNZaD27BTsF5CrwLG5Y0P6ndBKcx67J7aQ,"Does not do weekly reminders correctly. I opened a bug report, and was told that it was a known bug. A reminder app that gets reminders at the wrong time is a big 'no' from me.",negative
gp:AOqpTOFbP3Lt5uwZWPgRxo2B4l--pq8Z5T9nyeahqu1_ibgP8PBNXxdFVxGVbMhgwJe8FrGonuQWfEnmnAdRkw,"In app purchases significantly impact experience. Â£16 a year for features such as recurring tasks, you're having a laugh",negative
gp:AOqpTOHRes2JknGIxqY2oFmty_TFSjg4fDDRUDYIDUZ07XRB3LUb9CcFdOcptDFEJVIxC1uTBYhsqRKN7TPy7g,You need an account because they want to track your cookies for ads,negative
gp:AOqpTOFJJ8LhE53BtyV2uzQTsKkflibH-d5H3RWsL8fhcD9vMiRL2H66PvUJ-dFl9F0kZv93G7629ck0BUWW3g,Need to create an account to use it.,negative
gp:AOqpTOFbMY-dEzuA9scFyXcPzpFycTrv_1tCydO775LdDVtdFQ8iG85ttnZu5OIvW7KNjc_p84koYdAxUw3sTA,"Is NOTHING free anymore??. It looks like a good app but as soon as you open it, it gives the subscription rates ðŸ¤¬ðŸ¤¬ðŸ¤¬ðŸ¤¬. I uninstalled immediately. Don't bother. Believe it or not, some people don't enjoy being nickle and dimed!",negative
gp:AOqpTOHueG9lvVtmj5UNuFU-1MivOQskga-ofQZg0DwTKmLoILOyxy7pNWiSOxH9NM-pI78IfpCFda4qBHOaOA,Very bad,negative
gp:AOqpTOHMhjhziGz1_k48pNhBYz-vjgMBen39esGLhqRdeYOcwiy-cCerATiGtg4rFaYkEpnCfdCdd1jtHldPcg,Pratz,negative
gp:AOqpTOEdqfUm0GwqBkdF75LeKZa5SGRt8p3QH8pujSJFoBAiPjA31wdH6TP_2LErJ_x0F5VWxLlv0hf_Fzs06Q,i sent an ivite to people and everyone got over 50 emails for the one invite. What a joke of a an app.,negative
gp:AOqpTOEKWbRpgxwgf4yseEIggF60VRaUabZrwHy6nb588tP2vuCMoO8rxE5Ki2eqhkHk7jwidHWkxjh139u8CA,I have to sync whatttt gtfohhhhhh,negative
gp:AOqpTOEine219DFeJKAV9CA851rC4AVIfHFdvR9tk_YFDZMaf2vftkcHfeqRxXvTFu7FXUi1Q5ojvjfT2SP_Kw,Bring back my money! Why your system stolen my money from pending subscribe? Without confirmation and notification!!!! Wheres my money???,negative
gp:AOqpTOHsduNQr3pNm2qk04FB_o-VH-uoxTKEOacBS1viQM_Eq3-D3NSI8QhrVNEVMwlbcDv1-SB7zWad600I1g,WHY IS THIS SO BUGGY NOW? WHY ARE YOU NO LONGER REALLY BEING ATTENTIVE TO QUALITY CONTROL? CANT DELETE TASK ON ONE TRY. CAN NO LONGER DELETE FINISHED TASKS WITHOUT SEVERAL ATTEMPTS. ALL COMMANDS ARE HESITANT. ALL COMMANDS REQUIRE MULTIPLE ATTEMPTS. I HAVE EMAILED YOU 3 TIMES WITH NO RESPONSE. PLEASE ADVISE.,negative
gp:AOqpTOHSv4EF9wtBMFBbEp4CPGuedhsowedjRbi-jfnxeFg6T3B35MYcOKMyKpWiYRMJ9VCII-nwtMAiz7KViQ,Hum hai al Ghj,negative
gp:AOqpTOHO5tQdqUXws-68Ez3Y8_QTETnKwRWtQF5CMDu4sXmyhdZYz1uKkco-g9CxmFWEsTyTJ6Sf03w37bGAOA,Shabab,negative
gp:AOqpTOHnwPBu4j5gpyiQv-UBaZI_7cESDfUF1eNm1DDV6f3sB-VPS9O2T0zMblJpMYRqj5rbCky8jk8ihdWqCg,Makes simple things extremely complicated,negative
gp:AOqpTOGBrX-OvtWbKDH5eIJ_xZqoO46e4dQ_Dctj8CuUBxQ8SZ6TjT68zHhPAP4aYnofS4LPhASPT2In_JCONw,Even after your response it doesn't change the fact that you are required to have an account to proceed. The reasoning that others do it is negligible. Only way I would rate this app better is if you had an Anonymous auto log in that can be converted to a full account on sign up or log in.,negative
gp:AOqpTOHsn7Qvc5O6lO-tlvHCef0fUMZTqtY8ykX_NS24cxdyXnN5iDKgUwP-q2eJqqTVRR_j3hAbpRdKjZPvaw,The latest update now not working fine at all. It's worsening day by day. The developers now appears to have a different intention that premium paid version is purchased by the users.,negative
gp:AOqpTOHDloOCdZ0w-RjxmoAhI2PGzMx8TlUrHz1RXiorHRBA4kAoAXFDsxVh4Tzux7ZsxpX23HdGqA6OW3xsrA,Just use your basic phone calendar,negative
gp:AOqpTOEYwkpm0LNFzMg0G6R1KLXcL0A-qKRvt73UFHKv2-orl6mYVucgIoYnq46eq5Bt7WyjE7vXc8XwqWpK_Q,I want to cancel the subscription.,negative
gp:AOqpTOGYZHD-JGFxnyNq34f9ZZDiTLNJSzM9LSAkgnfhf0uyYprocDjqYQ4f82fxRRAhCg_IkjhW2PmOsu1o3g,MoneyGrabber Wants you to pay premium to choose specific dates.,negative
gp:AOqpTOF20Qx0SGYiFEhKMSCWsc1QrCC-7mmeB8jND5UO3L2NjkKF3zMX68CAQmYMuXKCYkue-oTWDtmyyytuYQ,Does not do much different than Google tasks (which is easier to use and is free). As a result I wanted a refund as I only realized this after my 7 day trial. Refunds are only given within 24 hours of their drawing their fee. Not sure that is legal for an automatic subscription after app trial.,negative
gp:AOqpTOHXeLietqvFalIXHQFKUVHnQHxCFf4UzdlJT3T6JlDOT9LghJHys68NDDavIQfuZOv8VDzcUowqqxo3pQ,"Bekaar... bagwas.. time waste... useless.. and asking for payment, before use anyway",negative
gp:AOqpTOEy4b33KvCs0D-tSQmJ7ka4aqC4pHg99SGs7obeOW2U9ndTTOXe7OxtjlxywBwAdongc9dvuh8OrVFPDA,Useless app... Set up 8 reminders during a course of 4 days and not once received any notification! Waste of money.,negative
gp:AOqpTOGm77YYB0Le5tbQYu0FlokpjKqkDqKf0kZQpT5rnSlTV2t_g89_AaPYeZ43Px5-vszP7HwyqyKmAdKgrQ,Subscription!!!,negative
gp:AOqpTOFZRTvOOvkhQFYxFpATV-0sWsRX2iY2y_w0mfV9qFC-1q4HHWyjEbOner21GdBU809gZyd30j_pa9ckNQ,"This app met my needs until this latest update. Dislike the new format to such a degree that it's a dealbreaker. Now I have to start from scratch researching apps to find a replacement. I know, I used the free version so you don't care if I go but this is such a disappointment.",negative
gp:AOqpTOHDfmZlBMeu7CQ2_c8Xchd5BX5D0VOxldswIjz991GIogthE7P689kn0fw6kjxsTK4AKJVRDzk1ME7kQA,It syncs EVERYTHING. terrible. you have to get the pro version in order to be able to do anything actually worth while!!!,negative
gp:AOqpTOFQwhTbjCpQa8zHwLPjCaxHDOD-QPoGTQJohYKWLyyFCfFbuzCno6uuJD8FMmNDWnldUCm2cuCj66cYcw,I don't found usefulness,negative
